City,Barcelona,Belgrade,Berlin,Brussels,Bucharest,Budapest,Copenhagen,Dublin,Hamburg,Istanbul,Kiev,London,Madrid,Milan,Moscow,Munich,Paris,Prague,Rome,Saint Petersburg,Sofia,Stockholm,Vienna,Warsaw,Beijing,Shanghai,Guangzhou,Shenzhen,Hong Kong
Rome,18227.59853,23276.51687,14014.44226,14725.2905,24205.02716,15233.92495,11502.49891,18438.30518,20386.18726,10969.66588,8486.624684,6537.534555,14439.30368,20146.27814,25276.75394,17456.4665,10979.24792,3592.725312,0,19253.96827,17235.24438,17337.57469,14333.65416,11828.21239,14412.144,16013.24451,15892.85344,20944.85621,13289.4999
Saint Petersburg,18289.70861,14754.12404,19319.60161,16160.18839,13598.13795,12900.67847,16039.46897,9172.179007,10036.83661,14945.58803,19072.6918,21270.44667,11148.956,9070.434656,11068.76674,5598.035704,9634.959821,15858.53173,19253.96827,0,6418.867889,6498.073355,9668.174875,12413.49759,9778.929594,10704.79608,11195.89792,21586.99577,8561.528233
Sofia,18422.29824,19470.83845,19075.74126,15916.32804,19561.30867,12681.51679,15795.60863,13495.2976,15051.80671,14701.72768,18626.38019,20577.8081,10921.6779,14654.33645,17352.25281,10938.13317,8925.760993,14313.46458,17235.24438,6418.867889,0,663.7620873,3352.022947,6395.774742,3696.223715,4299.761235,4790.86307,15181.96092,7229.631857
Stockholm,18523.22088,19550.04392,19178.07158,16018.65835,19640.51413,12782.43942,15897.93894,13574.50307,15131.01217,14804.05799,18728.7105,20680.13841,11024.00822,14733.54192,17430.63431,11017.33863,9028.091305,14415.79489,17337.57469,6498.073355,663.7620873,0,3455.085724,6498.837518,3799.286491,4402.824011,4893.925846,15285.0237,7331.962169
Vienna,18609.45119,22171.67809,17707.44618,15185.32632,22467.7696,14544.78712,14427.31354,16248.85482,17958.26764,13333.4326,15840.14583,17680.11671,13161.53106,17560.79739,20392.83947,13933.01649,6752.797243,11415.77319,14333.65416,9668.174875,3352.022947,3455.085724,0,3074.789593,406.2836801,2127.72935,2035.304211,12411.83669,5042.212774
Warsaw,20408.15103,24914.46003,16717.95402,16844.36611,25210.55155,17273.81517,13799.38793,18991.63676,20701.04959,13188.323,13494.18428,15334.15516,15892.86545,20303.57933,23436.59127,16675.79843,9492.806736,9069.811639,11828.21239,12413.49759,6395.774742,6498.837518,3074.789593,0,3063.189114,4363.931969,4170.539487,10263.78896,7764.547949
Beijing,18710.14595,22282.43281,17801.44806,15286.02108,22578.52432,14645.48188,14521.31543,16359.60954,18069.02236,13427.43448,15918.63567,17758.60656,13264.53216,17671.55211,20737.04024,14043.7712,6863.551961,11494.26303,14412.144,9778.929594,3696.223715,3799.286491,406.2836801,3063.189114,0,1749.411602,1629.02053,12005.55301,5136.214659
Shanghai,20441.65158,23770.59968,19539.64657,17017.52671,23861.0699,16376.98751,16259.51393,17795.05883,19351.56794,15165.63299,17519.73618,19359.70706,14993.73145,18954.09769,21335.84422,15237.8944,8584.997631,13095.36354,16013.24451,10704.79608,4299.761235,4402.824011,2127.72935,4363.931969,1749.411602,0,610.7036994,11001.80155,6874.413163
Guangzhou,20339.16648,23911.45334,19430.4686,16915.04161,24207.54485,16274.50241,16150.33596,17988.63007,19698.04289,15056.45501,17399.34511,19239.31599,14893.55269,19300.57264,21826.94605,15672.79174,8492.572492,12974.97247,15892.85344,11195.89792,4790.86307,4893.925846,2035.304211,4170.539487,1629.02053,610.7036994,0,10658.04151,6765.235189
Shenzhen,29669.89475,34287.98582,25979.69774,26106.10984,34584.07734,26564.66851,23061.13165,28365.16255,30074.57538,22450.06672,22755.928,24595.89889,25270.08518,29677.10512,32218.0439,26049.32422,18869.10498,18331.55536,20944.85621,21586.99577,15181.96092,15285.0237,12411.83669,10263.78896,12005.55301,11001.80155,10658.04151,0,17141.76767
Hong Kong,14386.75136,18208.44144,13478.05347,10962.62648,18504.53296,10322.08729,10197.92083,12285.61817,13995.03099,9104.039887,12214.18739,14376.83892,8941.137566,13597.56074,17208.02214,10011.05668,2541.078851,9832.04779,13289.4999,8561.528233,7229.631857,7331.962169,5042.212774,7764.547949,5136.214659,6874.413163,6765.235189,17141.76767,0
